,URL,ID,likes,dislikes,ratio
623,https://www.youtube.com/watch?v=0zBSw5Rg41w,0zBSw5Rg41w,201442,3366,59.846
625,https://www.youtube.com/watch?v=WWCsGEarExg,WWCsGEarExg,556559,26954,20.648
626,https://www.youtube.com/watch?v=orJSJGHjBLI,orJSJGHjBLI,3655372,145083,25.195
627,https://www.youtube.com/watch?v=MrlNCKnRqjw,MrlNCKnRqjw,36794,29,1268.759
629,https://www.youtube.com/watch?v=LwzN_v7GPMs,LwzN_v7GPMs,774502,22397,34.581
630,https://www.youtube.com/watch?v=sdAOoB5ML0Q,sdAOoB5ML0Q,781014,15419,50.653
632,https://www.youtube.com/watch?v=9nClXHVdK4I,9nClXHVdK4I,91796,4737,19.379
633,https://www.youtube.com/watch?v=VuNIsY6JdUw,VuNIsY6JdUw,8352601,254258,32.851
634,https://www.youtube.com/watch?v=KhXiCqeM7g0,KhXiCqeM7g0,58411,5972,9.781
635,https://www.youtube.com/watch?v=EgBJmlPo8Xw,EgBJmlPo8Xw,4836855,98296,49.207
636,https://www.youtube.com/watch?v=LTppaeecuIE,LTppaeecuIE,51957,409,127.034
637,https://www.youtube.com/watch?v=5eBBdBEbbXQ,5eBBdBEbbXQ,1341958,71028,18.893
639,https://www.youtube.com/watch?v=9xG5aPvrS-k,9xG5aPvrS-k,676173,7757,87.169
642,https://www.youtube.com/watch?v=l7ddWtP1DW8,l7ddWtP1DW8,215337,1160,185.635
643,https://www.youtube.com/watch?v=i0p1bmr0EmE,i0p1bmr0EmE,6228554,300210,20.747
644,https://www.youtube.com/watch?v=tollGa3S0o8,tollGa3S0o8,4078577,30912,131.942
645,https://www.youtube.com/watch?v=Z_MvkyuOJgk,Z_MvkyuOJgk,403030,10540,38.238
647,https://www.youtube.com/watch?v=bNTRIdraX8c,bNTRIdraX8c,407837,13148,31.019
648,https://www.youtube.com/watch?v=PivWY9wn5ps,PivWY9wn5ps,1052564,24131,43.619
649,https://www.youtube.com/watch?v=nikm4zpKCPM,nikm4zpKCPM,110314,15729,7.013
651,https://www.youtube.com/watch?v=-8VfKZCOo_I,-8VfKZCOo_I,1235492,86190,14.335
654,https://www.youtube.com/watch?v=2fDVXFlHtdE,2fDVXFlHtdE,271325,1622,167.278
659,https://www.youtube.com/watch?v=VZOBjI-Vm8w,VZOBjI-Vm8w,169659,4513,37.593
660,https://www.youtube.com/watch?v=x34H5sk75XQ,x34H5sk75XQ,156785,4262,36.787
